demand_node_index,truck_node_index,distance,scaled_demand
demand0,truck3,332.05138430149566,0
demand0,truck6,124.29459408897353,13
demand0,truck8,136.31590906143782,12
demand0,truck9,208.09082027454062,7
demand0,truck11,333.7323434154395,0
demand0,truck12,231.98561182628265,5
demand0,truck14,207.25030701282463,7
demand0,truck15,284.2885633843428,1
demand0,truck16,364.3684782448691,0
demand0,truck18,421.1161921725146,0
demand0,truck19,487.7600521551031,0
demand0,truck22,346.2684093900332,0
demand0,truck23,267.68266829616846,2
demand0,truck26,340.13452177604427,0
demand0,truck27,376.39983467277483,0
demand0,truck33,626.7910269481345,0
demand0,truck37,500.74446620775217,0
demand0,truck38,404.9389768751411,0
demand0,truck40,485.03197941375294,0
demand0,truck42,661.7069340263463,0
demand0,truck43,687.2948889068637,0
demand0,truck45,676.2982804710972,0
demand0,truck54,439.23259132803787,0
demand0,truck44,472.38760140714214,0
demand0,truck56,577.7253242469844,0
demand1,truck3,347.96943380882016,0
demand1,truck6,120.80084632552513,22
demand1,truck8,132.82216129798942,21
demand1,truck9,204.59707251109222,12
demand1,truck11,330.23859565199115,0
demand1,truck12,228.49186406283425,9
demand1,truck14,203.75655924937624,12
demand1,truck15,280.7948156208944,2
demand1,truck16,360.87473048142067,0
demand1,truck18,417.6224444090662,0
demand1,truck19,484.26630439165467,0
demand1,truck22,342.7746616265848,0
demand1,truck23,264.18892053272003,4
demand1,truck26,336.64077401259584,0
demand1,truck27,372.9060869093264,0
demand1,truck33,623.297279184686,0
demand1,truck37,497.25071844430374,0
demand1,truck38,401.4452291116927,0
demand1,truck40,481.53823165030445,0
demand1,truck42,658.2131862628978,0
demand1,truck43,683.8011411434152,0
demand1,truck45,672.8045327076487,0
demand1,truck54,435.73884356458944,0
demand1,truck44,468.8938536436937,0
demand1,truck56,574.2315764835361,0
demand2,truck3,214.1894677350949,4
demand2,truck6,201.15757059203833,5
demand2,truck8,113.77854156039554,9
demand2,truck9,111.96374968712873,9
demand2,truck11,176.4806383321785,6
demand2,truck12,74.73390674302166,10
demand2,truck14,186.66370020319573,6
demand2,truck15,190.35975427783865,5
demand2,truck16,270.43966913836493,1
demand2,truck18,326.28375500150185,0
demand2,truck19,392.9276149840903,0
demand2,truck22,250.14133880262133,2
demand2,truck23,247.09606148653955,3
demand2,truck26,319.54791496641536,0
demand2,truck27,355.8132278631459,0
demand2,truck33,532.8622178416304,0
demand2,truck37,480.15785939812326,0
demand2,truck38,384.3523700655122,0
demand2,truck40,464.445372604124,0
demand2,truck42,567.8488337296171,0
demand2,truck43,593.4367886101345,0
demand2,truck45,582.369471364593,0
demand2,truck54,345.3037822215337,0
demand2,truck44,378.458792300638,0
demand2,truck56,482.8928870759717,0
demand8,truck3,93.99987640131991,40
demand8,truck6,349.3442978967621,0
demand8,truck8,261.96526886511936,8
demand8,truck9,197.97682796116558,20
demand8,truck11,61.20811640195792,40
demand8,truck12,160.7469850170585,28
demand8,truck14,334.85042750791956,0
demand8,truck15,276.37283255187543,5
demand8,truck16,236.4986157331893,13
demand8,truck18,211.30518371049902,18
demand8,truck19,277.9490436930875,4
demand8,truck22,135.16276751161848,33
demand8,truck23,395.2827887912634,0
demand8,truck26,463.5233033976844,0
demand8,truck27,438.2576407818266,0
demand8,truck33,452.3897779441447,0
demand8,truck37,524.5089423496485,0
demand8,truck38,528.3277584967813,0
demand8,truck40,608.420761035393,0
demand8,truck42,528.6303141327016,0
demand8,truck43,554.218269013219,0
demand8,truck45,543.1509517676776,0
demand8,truck54,306.0852626246183,0
demand8,truck44,339.24027270372255,0
demand8,truck56,367.9143157849689,0
demand11,truck3,291.6450169756394,2
demand11,truck6,318.12875063079963,0
demand11,truck8,250.43514193574634,10
demand11,truck9,173.94659592403326,25
demand11,truck11,244.56945063237086,11
demand11,truck12,210.58899337302893,18
demand11,truck14,169.4054166251489,26
demand11,truck15,96.71967505006045,40
demand11,truck16,63.718556287182246,40
demand11,truck18,120.46627021482777,36
demand11,truck19,187.11013019741625,23
demand11,truck22,169.48435632994574,26
demand11,truck23,228.95340850177726,14
demand11,truck26,290.7432439516774,2
demand11,truck27,265.47758133581965,7
demand11,truck33,327.01350175334073,0
demand11,truck37,357.8787458582742,0
demand11,truck38,355.54769905077427,0
demand11,truck40,435.6407015893861,0
demand11,truck42,362.0001176413275,0
demand11,truck43,387.5880725218448,0
demand11,truck45,376.52075527630336,0
demand11,truck54,139.45506613324417,32
demand11,truck44,172.61007621234842,25
demand11,truck56,277.07540228929764,5
demand12,truck3,289.41234558822754,1
demand12,truck6,277.4294629800088,2
demand12,truck8,190.05043394836605,8
demand12,truck9,113.3143871471586,14
demand12,truck11,251.70351618531112,4
demand12,truck12,149.95678459615428,11
demand12,truck14,168.1753919920475,10
demand12,truck15,95.48965041695907,15
demand12,truck16,175.56956527748537,9
demand12,truck18,232.3172792051309,5
demand12,truck19,298.96113918771937,0
demand12,truck22,251.4919762626512,4
demand12,truck23,227.72338386867588,5
demand12,truck26,300.17523734855166,0
demand12,truck27,293.8910185703953,0
demand12,truck33,437.99211398075084,0
demand12,truck37,418.23565010537266,0
demand12,truck38,364.9796924476485,0
demand12,truck40,445.0726949862603,0
demand12,truck42,472.9787298687376,0
demand12,truck43,498.56668474925493,0
demand12,truck45,487.4993675037135,0
demand12,truck54,250.43367836065423,4
demand12,truck44,283.58868843975847,1
demand12,truck56,388.9264112796008,0
demand13,truck3,272.0978074726736,4
demand13,truck6,392.4968594660993,0
demand13,truck8,324.803250771046,0
demand13,truck9,248.31470475933293,8
demand13,truck11,225.02224112940505,11
demand13,truck12,284.9571022083286,2
demand13,truck14,243.77352546044855,8
demand13,truck15,171.08778388536015,19
demand13,truck16,85.89880777308434,30
demand13,truck18,142.64652170072986,24
demand13,truck19,209.29038168331834,14
demand13,truck22,149.93714682697993,23
demand13,truck23,276.80754018504973,3
demand13,truck26,312.92349543757956,0
demand13,truck27,287.65783282172174,2
demand13,truck33,349.1937532392428,0
demand13,truck37,380.0589973441763,0
demand13,truck38,377.7279505366764,0
demand13,truck40,457.8209530752882,0
demand13,truck42,384.1803691272296,0
demand13,truck43,409.7683240077469,0
demand13,truck45,398.70100676220545,0
demand13,truck54,161.63531761914626,21
demand13,truck44,194.7903276982505,16
demand13,truck56,299.25565377519973,0
demand14,truck3,295.09517438095173,0
demand14,truck6,283.11229177273293,1
demand14,truck8,195.7332627410902,5
demand14,truck9,118.99721593988276,9
demand14,truck11,257.3863449780353,2
demand14,truck12,155.63961338887844,7
demand14,truck14,151.2862105072712,7
demand14,truck15,78.60046893218275,10
demand14,truck16,158.68038379270902,7
demand14,truck18,215.42809772035454,4
demand14,truck19,282.07195770294305,1
demand14,truck22,257.1748050553754,2
demand14,truck23,210.83420238389957,4
demand14,truck26,283.28605586377535,1
demand14,truck27,277.00183708561906,1
demand14,truck33,421.1029324959745,0
demand14,truck37,401.3464686205964,0
demand14,truck38,348.0905109628722,0
demand14,truck40,428.183513501484,0
demand14,truck42,456.0895483839613,0
demand14,truck43,481.6775032644786,0
demand14,truck45,470.61018601893716,0
demand14,truck54,233.5444968758779,3
demand14,truck44,266.69950695498216,2
demand14,truck56,372.03722979482444,0
demand15,truck3,315.91701296649063,0
demand15,truck6,168.17077824121534,33
demand15,truck8,80.79174920957256,50
demand15,truck9,152.56666042267534,37
demand15,truck11,278.2081835635742,5
demand15,truck12,176.46145197441737,31
demand15,truck14,106.83487901464807,48
demand15,truck15,183.87313538616624,29
demand15,truck16,263.9530502466925,9
demand15,truck18,320.700764174338,0
demand15,truck19,387.3446241569265,0
demand15,truck22,290.74424953816794,2
demand15,truck23,167.2672402979919,33
demand15,truck26,239.71909377786767,15
demand15,truck27,275.98440667459823,6
demand15,truck33,526.375598949958,0
demand15,truck37,400.3290382095756,0
demand15,truck38,304.5235488769645,0
demand15,truck40,384.61655141557634,0
demand15,truck42,561.2915060281696,0
demand15,truck43,586.879460908687,0
demand15,truck45,575.8828524729206,0
demand15,truck54,338.81716332986133,0
demand15,truck44,371.9721734089656,0
demand15,truck56,477.3098962488079,0
demand16,truck3,398.53922671669034,0
demand16,truck6,180.13183107894693,27
demand16,truck8,163.41396295977228,31
demand16,truck9,235.18887417287505,15
demand16,truck11,360.830397313774,0
demand16,truck12,259.0836657246171,9
demand16,truck14,82.38423764917482,45
demand16,truck15,159.422494020693,32
demand16,truck16,239.50240888121925,14
demand16,truck18,296.2501228088648,1
